 disease ,drug,zscore,,,
C0038436,DB01104,-2.151740977,1.571428571,1.762809524,0.088942375
C0038358,DB00338,-0.719904863,,,
C0038358,DB00448,-0.19214223,,,
C0038358,DB00501,1.351595354,,,
C0038358,DB00517,0.589345946,,,
C0038358,DB00585,-0.618412274,2,2.1945,0.314515103
C0038358,DB00863,1.933424891,2.214285714,1.992428571,0.11474826
C0038358,DB00927,0.107145305,2,1.97575,0.226328163
C0038358,DB00940,1.516585586,2.333333333,1.988666667,0.227264897
C0038358,DB04843,-0.483533737,2,2.1595,0.329863229
C0038325,DB00860,-1.759407877,1.583333333,1.73625,0.08691371
C0038325,DB01285,-1.174330082,1.555555556,1.731444444,0.149778066
C0038220,DB00186,-4.653139163,,,
C0038220,DB00252,-6.416464643,,,
C0038220,DB00312,-6.123524207,,,
C0038220,DB00418,-3.900853386,,,
C0038220,DB00829,-3.793187535,1.357142857,1.715607143,0.094502126
C0038220,DB01320,-0.950802228,1,1.3095,0.325514593
C0038220,DB01351,-3.316043811,0,1.696,0.511452833
C0038013,DB00005,-5.615092269,,,
C0038013,DB00051,-6.147665652,,,
C0038013,DB00065,-6.464242793,,,
C0038013,DB00328,-0.862766654,,,
C0038013,DB00443,-1.548100466,,,
C0038013,DB00482,-2.993702739,,,
C0038013,DB00586,-0.633799142,1.666666667,1.726619048,0.094592083
C0038013,DB00605,-0.725419172,1.470588235,1.543,0.099820583
C0038013,DB00620,-0.639064387,1.5,1.556863636,0.088979511
C0038013,DB00635,-0.52092183,1.516129032,1.559741935,0.083722549
C0038013,DB00741,-2.490154526,1.222222222,1.402166667,0.072262361
C0038013,DB00788,-2.163282539,1.416666667,1.68375,0.123462067
C0038013,DB00860,-0.703025744,1.5,1.562083333,0.088308762
C0038013,DB00959,-2.696471655,1.066666667,1.365066667,0.110663132
C0038013,DB01234,-1.107911463,1.430379747,1.489594937,0.053447583
C0038013,DB01380,0.144925845,1,0.976,0.165601932
C0038013,DB06674,-3.280308944,0,1.032,0.314604514
C0038013,DB08904,-3.280308944,0,1.032,0.314604514
C0037769,DB01080,-6.4337752,0.5,1.9985,0.232911464
C0037769,DB01285,-1.097867221,1.777777778,1.916888889,0.126710324
C0037299,DB00359,0.546667496,,,
C0037299,DB05245,1.014604881,2,1.8302,0.167355789
C0037274,DB00443,0.149638546,,,
C0037274,DB00620,0.523695099,1.772727273,1.726772727,0.087750574
C0037274,DB00635,-1.409259938,1.64516129,1.751774194,0.075651695
C0037274,DB00860,-0.341471119,1.708333333,1.736583333,0.082730276
C0037274,DB00959,-2.009457522,1.333333333,1.532933333,0.099330291
C0037274,DB01234,0.250542033,1.683544304,1.670898734,0.050472847
C0037274,DB01380,-0.198026359,1,1.043,0.21714281
C0037199,DB00254,0.971873069,,,
C0037199,DB00415,0.76343725,,,
C0037199,DB00595,-0.2443281,1.5,1.527444444,0.112326189
C0037199,DB00618,-0.226693054,1.5,1.5825,0.363928221
C0037199,DB00681,1.553119251,2,1.775,0.144869751
C0037199,DB00713,-0.142283836,2,2.049,0.344382055
C0037199,DB00759,2.763743073,2,1.717933333,0.102059656
C0037199,DB01017,1.795754292,2.125,1.84325,0.156897857
C0037199,DB01602,-1.059784058,1,1.529,0.499158292
C0036508,DB00223,0.497967546,,,
C0036508,DB00240,-0.498277639,,,
C0036508,DB00288,-0.767991515,,,
C0036508,DB00443,-0.832099662,,,
C0036508,DB00547,-0.725571616,,,
C0036508,DB00588,-0.766628621,1,1.378,0.493067947
C0036508,DB00591,-1.11216008,1,1.3975,0.357412577
C0036508,DB00596,-1.11216008,1,1.3975,0.357412577
C0036508,DB00620,0.971090453,2.045454545,1.954681818,0.093475049
C0036508,DB00663,-0.74378086,1,1.364,0.489391459
C0036508,DB00741,-1.760475393,1.694444444,1.827777778,0.075737118
C0036508,DB00764,-0.252226664,1.5,1.58,0.317175031
C0036508,DB00825,-0.925454368,2,2.229666667,0.248166387
C0036508,DB00838,0.497967546,2,1.863333333,0.274448943
C0036508,DB00846,-0.826654905,1.333333333,1.548666667,0.260487577
C0036508,DB00860,-0.513299895,1.916666667,1.9615,0.087343352
C0036508,DB00959,-1.700964921,1.6,1.775666667,0.103274715
C0036508,DB01013,-0.959109511,1.333333333,1.574666667,0.251622292
C0036508,DB01026,0.200762018,1.947368421,1.927736842,0.097785324
C0036508,DB01047,-0.826654905,1.333333333,1.548666667,0.260487577
C0036508,DB01130,-0.43562109,1.5,1.59675,0.222096685
C0036508,DB01234,-1.448375045,1.82278481,1.909734177,0.060032357
C0036508,DB01243,-0.11649225,1.666666667,1.683111111,0.14116342
C0036508,DB01260,-0.693236071,1.333333333,1.524,0.275038583
C0036508,DB01380,-0.766628621,1,1.378,0.493067947
C0036508,DB03904,-0.635251237,1.666666667,1.752777778,0.135554417
C0036508,DB06786,-0.745405821,1.333333333,1.529333333,0.262944016
C0036341,DB00246,-8.223229088,,,
C0036341,DB00334,-9.713695167,,,
C0036341,DB00391,-4.658521359,,,
C0036341,DB00408,-6.017525698,,,
C0036341,DB00420,-7.392593268,,,
C0036341,DB00433,-6.652964359,,,
C0036341,DB00477,-7.374290565,,,
C0036341,DB00502,-12.54907423,,,
C0036341,DB00623,-5.149170736,0.3,1.0446,0.144605809
C0036341,DB00734,-9.121865654,0.519230769,1.085192308,0.062044494
C0036341,DB00831,-6.655689756,0.458333333,1.030166667,0.085916465
C0036341,DB00850,-5.521897596,0.4,0.990866667,0.107004278
C0036341,DB00875,-3.66264334,0.4,0.9792,0.158137156
C0036341,DB00933,-2.942523411,0.5,1.085,0.198808954
C0036341,DB01224,-8.594586289,0.346153846,1.091115385,0.086677999
C0036341,DB01238,-6.418599183,0.272727273,1.140545455,0.135203673
C0036341,DB01239,-5.88159741,0.142857143,1.004285714,0.146461669
C0036341,DB01267,-5.327466978,0.333333333,1.031666667,0.131081682
C0036341,DB01618,-4.394208102,0,1.005,0.228710151
C0036341,DB01623,-4.570028381,0.25,0.95075,0.153336028
C0036341,DB04842,-3.188139978,0.647058824,0.940411765,0.092013821
C0036341,DB04946,-6.688638668,0.266666667,1.122733333,0.127988177
C0036341,DB06016,-4.401781843,0,1.182666667,0.268679073
C0036341,DB06144,-6.631643833,0.181818182,1.014363636,0.12554134
C0036341,DB06216,-8.007938812,0.222222222,1.109055556,0.110744269
C0036341,DB08815,-4.238909385,0.2,1.0566,0.202080281
C0036341,DB09128,-5.475707551,0,1.1722,0.214072791
C0036341,DB09223,-4.252405165,0,0.938,0.220581051
C0036337,DB01267,-2.462374559,1.444444444,1.810777778,0.148772384
C0036202,DB00443,0.055017975,,,
C0036202,DB00620,-0.256442534,1.909090909,1.931409091,0.087029954
C0036202,DB00635,0.218107151,1.967741935,1.952516129,0.069808837
C0036202,DB00741,-1.393536958,1.722222222,1.810388889,0.063268266
C0036202,DB00860,0.710027469,2,1.940125,0.084327723
C0036202,DB00959,-1.467565215,1.6,1.749533333,0.101892122
C0036202,DB01234,-0.943325197,1.848101266,1.890506329,0.044952752
C0036202,DB01380,1.415274886,2,1.333,0.471286537
C0035579,DB00146,-1.147743517,,,
C0035579,DB00153,-1.85554787,,,
C0035579,DB00169,-0.988393655,,,
C0035579,DB01070,-3.560489638,0,1.694,0.475777259
C0035455,DB00145,2.895194422,,,
C0035455,DB00318,0.106519343,,,
C0035455,DB00388,-0.08065507,,,
C0035455,DB00394,-1.5868094,,,
C0035455,DB00397,1.91071325,,,
C0035455,DB00514,1.851290223,,,
C0035455,DB00852,2.021838203,2.058823529,1.873941176,0.091442704
C0035455,DB00874,2.653495744,2.5,2.04475,0.171566132
C0035455,DB00956,0.223986517,2,1.9634,0.163402693
C0035455,DB01240,-1.957273071,1,1.793,0.405155526
C0035455,DB01364,0.228238021,1.666666667,1.619,0.208846302
C0035455,DB04837,-4.795714498,0,1.899,0.395978535
C0035412,DB00541,-0.872005153,,,
C0035412,DB00970,-1.189544439,1.375,1.5003125,0.10534495
C0035335,DB00531,-1.989564558,,,
C0035258,DB00268,-2.982301266,,,
C0035258,DB00413,-5.183302162,,,
C0035258,DB00996,-0.074981436,2.111111111,2.11662963,0.073598464
C0035258,DB05271,-4.210686983,1.4,1.9848,0.1388847
C0035258,DB08872,-0.194193,2.125,2.141083333,0.082821386
C0035021,DB00254,-0.436646682,,,
C0035021,DB00595,-0.3479396,1.722222222,1.754277778,0.092129656
C0035021,DB00618,-1.147940708,1.5,1.823,0.281373417
C0035021,DB00681,-1.553841367,1.714285714,1.952857143,0.153536541
C0035021,DB00759,-2.40779288,1.666666667,1.894933333,0.094803282
C0035021,DB01017,-1.080395711,1.875,2.027375,0.141036287
C0034069,DB00860,-2.242568003,1.291666667,1.481833333,0.084798618
C0034067,DB00277,0.597339264,,,
C0034067,DB00332,0.588128405,,,
C0034067,DB00368,1.041911745,,,
C0034067,DB00588,-0.45497319,1,1.196,0.430794615
C0034067,DB00651,1.292103561,2.166666667,1.974666667,0.1485949
C0034067,DB00668,-0.154167581,1.75862069,1.771344828,0.082534459
C0034067,DB00816,1.971148355,2,1.189,0.411435293
C0034067,DB00871,1.971148355,2,1.189,0.411435293
C0034067,DB00938,0.875533856,1.75,1.58425,0.189313067
C0034067,DB00983,0.27770341,2,1.926666667,0.264070698
C0034067,DB01223,0.494500798,2,1.9443,0.112638848
C0034067,DB01274,0.83842968,2,1.813666667,0.22224086
C0034067,DB01291,1.971148355,2,1.189,0.411435293
C0034067,DB01409,1.013329901,2,1.8234,0.174276906
C0034067,DB09082,1.971148355,2,1.189,0.411435293
C0034065,DB00009,-2.821749464,,,
C0034065,DB00013,-5.350307785,,,
C0034065,DB09075,-2.236386072,1,1.851,0.380524638
C0034063,DB01116,1.746528025,3,2.218,0.447745463
C0034013,DB00007,0.215521775,,,
C0034013,DB00666,-0.030884464,2,2.009,0.291408648
C0034013,DB06788,-0.030884464,2,2.009,0.291408648
C0034012,DB00624,-1.533423902,1.428571429,1.534828571,0.069294044
C0034012,DB01185,0.614047112,1.333333333,1.227666667,0.172082345
C0034012,DB01420,-0.568719967,1,1.0886,0.155788446
C0034012,DB06710,1.307061202,1.4,1.1818,0.16693939
C0033975,DB00206,-1.051788503,,,
C0033975,DB00420,-2.363265808,,,
C0033975,DB00477,-4.877753577,,,
C0033975,DB00502,-5.976899785,,,
C0033975,DB00508,-1.210921212,,,
C0033975,DB00623,-2.622445769,1.1,1.4364,0.1282772
C0033975,DB01063,-1.286453904,1,1.284666667,0.221280114
C0033975,DB01267,-3.629838218,0.888888889,1.422333333,0.146960942
C0033860,DB00443,0.16049473,,,
C0033860,DB00459,-2.65855331,,,
C0033860,DB00563,-0.478062401,1.413461538,1.437442308,0.050162425
C0033860,DB00620,0.631495923,1.5,1.440318182,0.094508636
C0033860,DB00635,0.502180404,1.483870968,1.442096774,0.08318563
C0033860,DB00741,-2.886023087,1.055555556,1.270861111,0.074602853
C0033860,DB00799,0.494800039,1.125,1.06825,0.114692796
C0033860,DB00860,0.154569213,1.458333333,1.44425,0.091113444
C0033860,DB00959,-3.499570804,0.866666667,1.2454,0.108222795
C0033860,DB01234,-0.472710604,1.341772152,1.366405063,0.052109919
C0033860,DB01380,0.254877865,1,0.939,0.239330316
C0033860,DB05679,-5.111335604,0.444444444,1.272,0.161905932
C0033774,DB00281,-4.844110803,,,
C0033774,DB00283,-5.271241076,,,
C0033774,DB00297,-2.669967663,,,
C0033774,DB00366,-1.929940991,,,
C0033774,DB00405,-1.929940991,,,
C0033774,DB00420,-1.655998584,,,
C0033774,DB00427,-1.929940991,,,
C0033774,DB00434,-3.385730731,,,
C0033774,DB00527,-4.68414922,,,
C0033774,DB00557,-3.486882954,1.5,1.949375,0.128875849
C0033774,DB00645,-2.510447634,1.444444444,1.815,0.147605371
C0033774,DB00719,-4.483941583,0,1.833,0.408792123
C0033774,DB00748,-3.439818918,1,1.884,0.256990272
C0033774,DB00792,-4.483941583,0,1.833,0.408792123
C0033774,DB00825,-3.392619205,1.333333333,2.017666667,0.201712392
C0033774,DB00835,-4.483941583,0,1.833,0.408792123
C0033774,DB00871,-0.1206317,1,1.031,0.256980544
C0033774,DB00902,-4.483941583,0,1.833,0.408792123
C0033774,DB01084,-4.483941583,0,1.833,0.408792123
C0033774,DB01086,-5.641080222,0.5,2.183,0.298347113
C0033774,DB01114,-2.008207687,1.5,1.9085,0.203415216
C0033774,DB01142,-2.979525176,1.555555556,1.859666667,0.102066971
C0033774,DB01146,-3.339516119,1,1.972,0.291060131
C0033774,DB01246,-4.483941583,0,1.833,0.408792123
C0033774,DB01619,-4.483941583,0,1.833,0.408792123
C0033774,DB01620,-4.483941583,0,1.833,0.408792123
C0033774,DB03255,0.044536238,1.857142857,1.850857143,0.141137073
C0033774,DB04398,-0.055517547,1,1.013,0.234160202
C0033774,DB06691,-3.503203705,1.428571429,1.944285714,0.147212189
C0033774,DB08799,-3.339516119,1,1.972,0.291060131
C0033774,DB09085,-5.036092095,1.4,2.0132,0.121761078
C0033774,DB09555,-4.483941583,0,1.833,0.408792123
C0033578,DB00499,-5.752703136,,,
C0033578,DB01196,-4.525966748,0.545454545,1.022181818,0.10533159
C0032897,DB00052,-3.06989807,,,
C0032897,DB01282,-0.010684956,2,2.0025,0.233973823
C0032285,DB00274,-1.100612239,,,
C0032285,DB00456,0.437293628,,,
C0032285,DB00595,-0.349834427,1.222222222,1.258944444,0.104970293
C0032285,DB00618,-0.675115296,1,1.221,0.327351493
C0032285,DB00681,0.88895847,1.714285714,1.584285714,0.146238553
C0032285,DB00759,-1.210892226,1.4,1.530933333,0.108129634
C0032285,DB00833,-1.276146721,1.214285714,1.365785714,0.118716757
C0032285,DB01017,0.943134832,1.75,1.60425,0.154537819
C0032285,DB01059,-1.480614211,1,1.427,0.288393828
C0032285,DB01165,0.718686586,1.727272727,1.624272727,0.143316992
C0032285,DB01208,-1.099114958,1,1.3,0.272946881
C0032285,DB01326,-1.100612239,1.333333333,1.63,0.269546945
C0032285,DB01328,-0.155230105,1,1.04,0.257681975
C0032285,DB01333,-1.163743266,1.25,1.5115,0.224705919
C0031511,DB00692,2.48225533,2.222222222,1.875666667,0.139613178
C0031511,DB00765,1.195920969,2.181818182,2.035545455,0.122309694
C0031511,DB00925,1.76403516,2.142857143,1.855,0.163181069
C0031099,DB01017,1.772386575,2.125,1.852375,0.153818024
C0030920,DB00213,-2.117220546,,,
C0030920,DB00338,-5.291825339,,,
C0030920,DB00383,0.212904673,,,
C0030920,DB00424,0.256284029,,,
C0030920,DB00448,-4.38111821,,,
C0030920,DB00475,1.75220642,,,
C0030920,DB00517,0.114596011,,,
C0030920,DB00585,-1.255220671,2,2.371,0.29556556
C0030920,DB00670,-0.414291184,2,2.08775,0.211807548
C0030920,DB00725,-5.038480453,1.25,2.15375,0.179369556
C0030920,DB00736,-2.984787396,1.777777778,2.147888889,0.123999154
C0030920,DB00747,-0.212425321,2,2.0495,0.233023068
C0030920,DB00782,-0.828650812,2,2.204,0.24618331
C0030920,DB00940,-0.587266369,2,2.142333333,0.242365885
C0030920,DB00986,-0.237911233,2,2.092,0.386698849
C0030920,DB01129,-3.927618679,1.5,1.953333333,0.115421931
C0030920,DB01625,-0.780597565,2,2.394,0.504741518
C0030920,DB04843,-1.05162996,2,2.3165,0.300961376
C0030920,DB05265,-0.175280101,2,2.057,0.325193788
C0030567,DB00190,-5.375988546,,,
C0030567,DB00268,-5.358511206,,,
C0030567,DB00323,-2.322041794,,,
C0030567,DB00368,-1.822404233,,,
C0030567,DB00376,-0.722817023,,,
C0030567,DB00387,-0.534120948,,,
C0030567,DB00413,-3.729301609,,,
C0030567,DB00494,-2.242635005,,,
C0030567,DB00714,-6.289067691,0.642857143,1.314285714,0.106761225
C0030567,DB00810,-0.212486474,1.666666667,1.726666667,0.282370914
C0030567,DB00915,0.29489523,2,1.881,0.403533146
C0030567,DB00942,0.67957627,2,1.667,0.490011224
C0030567,DB00988,-3.437102502,0.888888889,1.224611111,0.097675941
C0030567,DB01037,-4.050807748,1,1.642888889,0.158706344
C0030567,DB01200,-5.449599669,0.75,1.2841875,0.098023255
C0030567,DB01235,-5.326970687,0.852941176,1.254676471,0.075415338
C0030567,DB01367,-4.784127584,0,1.3415,0.280406401
C0030567,DB05271,-5.630475472,0.2,1.459,0.223604562
C0030567,DB06262,-1.574163897,1.125,1.388375,0.167311041
C0030193,DB00193,-5.455558395,,,
C0030193,DB00201,-3.178597443,,,
C0030193,DB00295,-7.560000472,,,
C0030193,DB00316,-5.604216411,,,
C0030193,DB00318,-6.486740635,,,
C0030193,DB00327,-6.426829185,,,
C0030193,DB00454,-2.940411693,,,
C0030193,DB00573,-5.108707992,0,1.6005,0.313288605
C0030193,DB00586,-3.461286889,1.333333333,1.665285714,0.095904324
C0030193,DB00611,-4.577073751,0.857142857,1.646,0.172349668
C0030193,DB00647,-4.69558849,0.5,1.53425,0.220259932
C0030193,DB00652,-5.665352717,0,1.458666667,0.257471466
C0030193,DB00749,-4.564774006,0.333333333,1.469666667,0.248935288
C0030193,DB00784,-4.62727559,1,1.6238,0.134809347
C0030193,DB00788,-5.754268693,0.833333333,1.614583333,0.135768773
C0030193,DB00813,-5.019877664,1.04,1.47716,0.087085788
C0030193,DB00844,-6.358978758,0.5,1.626333333,0.177124877
C0030193,DB00854,-3.542764661,0,1.082,0.305411198
C0030193,DB00861,-4.307486385,0.5,1.34475,0.196112053
C0030193,DB00945,-4.524309663,1.23943662,1.506070423,0.058933588
C0030193,DB00956,-6.426829185,0.4,1.6254,0.190669452
C0030193,DB00963,-5.108707992,0,1.6005,0.313288605
C0030193,DB01009,-6.589743279,0.25,1.60775,0.206039893
C0030193,DB01050,-6.248732786,1.064516129,1.594032258,0.084739762
C0030193,DB01183,-5.439293654,0.909090909,1.639636364,0.134308883
C0030193,DB01192,-5.731147496,0.25,1.46775,0.212479264
C0030193,DB01209,-4.670103211,0,1.3755,0.294533105
C0030193,DB01356,-3.456280647,1.209302326,1.461,0.072823275
C0030193,DB01600,0.236571784,1,0.947,0.22403348
C0030193,DB06204,-0.493881943,1.333333333,1.447,0.230149468
C0030193,DB06725,-0.026620816,1.666666667,1.674333333,0.287995177
C0030193,DB08797,-0.100503782,1,1.02,0.198997487
C0030193,DB09084,-4.994245551,0.5,1.871,0.274515938
C0030193,DB09213,-3.849933575,0,1.307,0.339486377
C0029456,DB00153,-3.975430605,,,
C0029456,DB00169,-2.74857192,,,
C0029456,DB00399,-1.108345898,,,
C0029456,DB00884,-4.113773289,0.5,1.33175,0.20218664
C0029456,DB01022,0.778019372,2,1.595,0.520552591
C0029456,DB06643,-2.147045275,0.5,1.154,0.304604662
C0029443,DB00479,-0.069590403,,,
C0029408,DB00193,2.2424993,,,
C0029408,DB00328,-0.42307511,,,
C0029408,DB00461,-1.21178374,,,
C0029408,DB00482,-3.254876343,,,
C0029408,DB00500,-1.8633469,,,
C0029408,DB00554,0.826323488,1.727272727,1.613545455,0.137630449
C0029408,DB00573,-3.22234971,0.5,1.501,0.310642882
C0029408,DB00586,0.472028567,1.619047619,1.569761905,0.104412567
C0029408,DB00605,0.094951071,1.411764706,1.402,0.102839345
C0029408,DB00667,-1.025260114,1,1.528,0.514991262
C0029408,DB00712,0.057108631,1.5,1.489333333,0.186778538
C0029408,DB00749,-4.333006775,0.333333333,1.352333333,0.235171569
C0029408,DB00788,-1.467541642,1.333333333,1.525083333,0.130660688
C0029408,DB00814,-0.583142245,1.25,1.37775,0.219071763
C0029408,DB00861,-4.321018968,0.5,1.25775,0.175363729
C0029408,DB00945,-2.186452023,1.267605634,1.398943662,0.060069019
C0029408,DB00991,-3.22234971,0.5,1.501,0.310642882
C0029408,DB01009,-1.246561673,1.25,1.509,0.207771509
C0029408,DB01050,-0.88191169,1.419354839,1.493516129,0.084091515
C0029408,DB01283,-0.705867162,1.25,1.41125,0.228442416
C0029408,DB01356,-0.648109694,1.325581395,1.369813953,0.068248567
C0029408,DB01399,-3.22234971,0.5,1.501,0.310642882
C0029408,DB01600,0.288831471,1,0.923,0.266591448
C0029408,DB08984,0.576823009,2,1.73,0.46808119
C0029408,DB09213,-0.475840625,1,1.1465,0.307876193
C0029408,DB11320,-2.904084656,0.75,1.32625,0.198427411
C0028840,DB00195,0.284154098,,,
C0028840,DB00287,0.03532292,,,
C0028840,DB00373,2.31450865,,,
C0028840,DB00484,0.00690596,,,
C0028840,DB00521,1.843300897,,,
C0028840,DB00654,0.008613332,2,1.998333333,0.193498493
C0028840,DB00742,-3.505969274,1.333333333,1.892,0.15934728
C0028840,DB00869,0.084628844,2,1.984,0.189060837
C0028840,DB00905,0.119673067,2,1.970333333,0.247897604
C0028840,DB01085,-0.829401233,1.769230769,1.851769231,0.099515721
C0028840,DB01194,-0.079513077,2,2.017,0.21380131
C0028840,DB01210,1.843300897,2,1.542,0.248467302
C0028840,DB01214,1.03447632,1.666666667,1.441333333,0.217823578
C0028840,DB01229,-2.144798316,1.59375,1.7110625,0.054696285
C0028840,DB08819,0.03532292,2,1.991,0.254792072
C0028840,DB09351,0.284154098,2,1.918,0.288575813
C0028754,DB00182,-1.52686099,,,
C0028754,DB00191,-1.664355187,,,
C0028754,DB00579,-1.090544808,1,1.287666667,0.263782528
C0028754,DB00704,-0.612580983,1.125,1.229125,0.169977526
C0028754,DB00830,0.234141944,1.5,1.412,0.375840392
C0028754,DB00865,-0.214375478,1,1.052333333,0.244119961
C0028754,DB00937,0.234141944,1.5,1.412,0.375840392
C0028754,DB01083,-2.751827443,0.777777778,1.243222222,0.169140127
C0028754,DB01105,-2.223657501,0.8,1.298,0.223955353
C0028754,DB01156,-4.183209101,0.764705882,1.248294118,0.115602214
C0028754,DB01191,-2.923105757,0,1.085,0.371180549
C0028754,DB01577,-1.850911385,1.04,1.21228,0.09307847
C0028754,DB01579,-0.639162146,1,1.211,0.330119675
C0028754,DB04871,-3.391164992,0,0.92,0.271293199
C0028754,DB06155,-1.703387073,0.857142857,1.141857143,0.167145971
C0028326,DB01185,-0.302825126,1.333333333,1.389333333,0.18492521
C0027819,DB00531,-1.371531653,,,
C0027819,DB00541,-4.770409768,,,
C0027819,DB00997,-3.619546366,1.097826087,1.26573913,0.046390632
C0027819,DB09077,-1.644062023,1,1.4755,0.289222665
C0027796,DB00281,-4.005092654,,,
C0027796,DB06774,-2.748704138,1.4,1.707933333,0.112028548
C0027726,DB00443,-1.746596434,,,
C0027726,DB00620,-2.467690187,1.363636364,1.580727273,0.087973324
C0027726,DB00635,-2.218998903,1.419354839,1.595483871,0.079373195
C0027726,DB00741,-4.978569536,1.055555556,1.423333333,0.073872179
C0027726,DB00860,-1.963992263,1.416666667,1.584166667,0.085285468
C0027726,DB00959,-1.299678825,1.266666667,1.396466667,0.099870828
C0027726,DB01234,-1.576506954,1.430379747,1.507822785,0.049123182
C0027726,DB01380,0.10194415,1,0.988,0.117711512
C0027708,DB00541,-1.729013345,,,
C0027708,DB00970,-0.192157424,1.375,1.39425,0.100178279
C0027708,DB00997,-2.160095798,1.380434783,1.509706522,0.059845373
C0027498,DB00420,1.269037313,,,
C0027498,DB00433,-0.047532787,,,
C0027498,DB00477,-0.919152322,,,
C0027498,DB00508,-0.514378889,,,
C0027498,DB00850,-1.049080925,1.266666667,1.379,0.107077853
C0027498,DB00985,2.27927766,2.5,1.772,0.319399436
C0027498,DB01069,0.141894189,1.466666667,1.4508,0.111820412
C0027498,DB01184,1.132375952,1.8,1.5624,0.209824307
C0027497,DB00420,1.402637027,,,
C0027497,DB00508,0.810176309,,,
C0027497,DB00568,-1.139867492,1.285714286,1.449142857,0.143375061
C0027497,DB00985,1.752296229,2.5,1.959,0.308737753
C0027430,DB00394,-0.109017257,,,
C0027404,DB00182,-1.951469772,,,
C0027404,DB00422,0.575798124,,,
C0027404,DB00745,2.223975405,2.1,1.8008,0.134533862
C0027404,DB01576,-2.724629974,1.5,1.9205,0.154332883
C0027404,DB06413,-1.316332701,1.5,1.8505,0.26627007
C0027404,DB09072,-1.242332962,1.5,1.84,0.273678644
C0027051,DB00264,-2.956695697,,,
C0027051,DB00266,-2.460010041,,,
C0027051,DB00335,-3.687228749,,,
C0027051,DB00722,-5.827526282,0.285714286,1.311714286,0.176060982
C0027051,DB00945,-5.03918065,1,1.268408451,0.053264304
C0027051,DB00946,-0.16336601,1.142857143,1.162857143,0.122424487
C0027022,DB08877,-5.581474432,0.777777778,1.636555556,0.153862172
C0026896,DB00545,-0.952479131,,,
C0026896,DB01122,-7.220354215,0,2.014,0.278933684
C0026896,DB01400,-7.220354215,0,2.014,0.278933684
C0026838,DB00201,0.289747445,,,
C0026838,DB00356,0.042564701,,,
C0026838,DB00395,0.267876128,,,
C0026838,DB00423,0.694127562,,,
C0026838,DB00697,-2.542030936,0.75,1.2675,0.203577381
C0026838,DB00829,-1.584588205,1.428571429,1.578214286,0.094436433
C0026838,DB00924,0.026275199,1.6,1.5942,0.220740481
C0026838,DB01173,-4.672849354,0.6,1.6102,0.216185013
C0026838,DB01219,0.601997203,1.625,1.52025,0.174004131
C0026838,DB11582,-5.650053535,0.2,1.5858,0.245272012
C0026769,DB00108,-1.017946851,,,
C0026769,DB00443,-1.707819569,,,
C0026769,DB00620,-2.755803013,1.227272727,1.467590909,0.087204412
C0026769,DB00635,-3.250945492,1.193548387,1.461225806,0.082338329
C0026769,DB00741,-4.068641214,1,1.294527778,0.072389715
C0026769,DB00860,-0.57619313,1.416666667,1.468291667,0.089596695
C0026769,DB00959,-5.799142915,0.666666667,1.269266667,0.103911907
C0026769,DB01234,-3.361888828,1.215189873,1.385974684,0.050800255
C0026769,DB01380,0.206767666,1,0.959,0.198290191
C0026769,DB06637,1.884070216,1.921052632,1.771631579,0.079307582
C0026769,DB08880,1.055984204,2,1.61,0.369323706
C0026764,DB00188,-0.59554693,,,
C0026764,DB00262,1.177041484,,,
C0026764,DB00480,-7.289930219,,,
C0026764,DB00531,-2.819194202,,,
C0026764,DB00997,-2.513000456,1.206521739,1.334630435,0.050978381
C0026764,DB01041,-2.37858275,1.151515152,1.341,0.07966292
C0026764,DB01042,-2.606394651,1.052631579,1.316842105,0.101370115
C0026764,DB01234,-1.088916607,1.316455696,1.374177215,0.053008209
C0026764,DB06317,-3.330967688,0,1.622,0.486945582
C0026764,DB06603,-2.726323432,0.882352941,1.126529412,0.089562547
C0026764,DB06809,-2.012951259,0.75,1.11275,0.180208039
C0026764,DB08889,2.334711406,1.285714286,1.14644898,0.059649902
C0026764,DB08910,-1.948447389,0.75,1.0535,0.155765047
C0026764,DB09331,-3.929252799,0,1.757,0.447158808
C0026764,DB09570,0.339449726,1,0.9305,0.204743132
C0025323,DB00302,-2.816024719,,,
C0025323,DB00367,-0.410173288,,,
C0025323,DB00717,-0.638138882,1.875,1.968875,0.147107476
C0025323,DB01357,0.365803225,2,1.948222222,0.141545438
C0025323,DB09389,-0.401982145,1.5,1.572333333,0.179941657
C0025289,DB00199,-1.236202769,,,
C0025202,DB00309,-0.561197009,,,
C0025202,DB01005,-2.406027941,0.857142857,1.101785714,0.101679142
C0024623,DB00544,-7.736199326,,,
C0024623,DB01101,-7.878455741,0.666666667,1.201606061,0.067899016
C0024623,DB01248,-5.875804808,0.862068966,1.096827586,0.039953441
C0024623,DB09256,-5.45802141,0,1.1555,0.211706755
C0024623,DB09257,-3.193505716,0,1.631,0.510723996
C0024591,DB01219,-1.701320445,1.875,2.119625,0.143785376
C0024530,DB00205,-1.678139854,,,
C0024305,DB00073,-4.988570689,,,
C0024305,DB00262,-0.961187402,,,
C0024305,DB00290,-1.72377782,,,
C0024305,DB00443,-0.067142014,,,
C0024305,DB00541,-3.01822001,,,
C0024305,DB00563,-1.732065115,1.576923077,1.674346154,0.056246775
C0024305,DB00570,-1.888878796,1.4,1.572266667,0.091200487
