disease,drug,zscore,d,mean,sd
C0020676,DB00323,-2.448647480612622,0.5,1.0475,0.22359282188836027
C0038436,DB00404,-1.2522290146623067,1.8928571428571428,2.0036785714285714,0.08849932981413487
C0024138,DB00285,1.4757533739204534,2.2142857142857144,2.064857142857143,0.10125578844627871
C0003467,DB01607,-0.4926828796402805,1.0,1.119,0.24153467659944816
C0018021,DB00390,-1.79553587043793,1.7941176470588236,1.9217647058823528,0.07109134433075748
C0009806,DB00564,-1.183437286895654,1.4,1.480977777777778,0.06842591379742288
C1263846,DB00620,0.4359077744840178,1.4545454545454546,1.4134545454545455,0.09426514390468994
C0035455,DB01591,-0.512271859335317,1.8,1.8786,0.15343415525886014
C0006413,DB08906,-0.020248557974359135,1.0,1.005,0.24693116449731492
C0011606,DB00188,0.7654002835766869,1.829268292682927,1.794609756097561,0.045281583152031187
C0003873,DB00477,-0.7017849992617123,1.2380952380952381,1.3122857142857143,0.10571681678651662
C0026769,DB00916,-4.677917173118871,0.5,1.63525,0.2426827919321846
C0029408,DB01114,0.5297510653479649,1.75,1.62325,0.2392633225130839
C0037199,DB00537,2.803012333807114,2.2222222222222223,1.8471111111111114,0.13382428132295326
C0948896,DB01234,-1.5542635932280955,1.6962025316455696,1.7811139240506326,0.05463126896558654
C0023434,DB00745,1.340630009377039,1.8,1.6151,0.13792023056825276
C0020538,DB01234,-6.915125941363447,0.810126582278481,1.137987341772152,0.0474121168976175
C0019829,DB00338,-1.4987934827647478,1.4375,1.5595,0.08139880604161218
C1263846,DB00860,1.3764371125352064,1.5416666666666667,1.419375,0.08884653396290833
C0035455,DB00540,-0.9987269250089903,1.8181818181818181,1.92,0.10194796922819044
C0004096,DB01186,-1.0953246238792398,1.0,1.303,0.27663031889750145
C2607914,DB00002,-1.1325479324002974,1.5348837209302326,1.6173023255813954,0.07277272978326542
C0004238,DB00475,0.7660041758276646,1.8421052631578947,1.7626315789473683,0.10375098037116488
C1269683,DB00537,-2.0189524728508106,1.1111111111111112,1.4483333333333333,0.16702831134308774
C0020557,DB06273,-1.6939173296858032,1.5,1.8255,0.19215813800097042
C0334634,DB08797,1.3312796631187809,2.0,1.332,0.5017728569781351
C0011581,DB00829,-5.873489284142575,0.8928571428571429,1.46075,0.0966874765015868
C0011616,DB01364,0.795208041347686,1.6666666666666667,1.4813333333333334,0.23306270019508105
C0024138,DB00501,1.1424747581982964,2.3,2.1682,0.11536359911167816
C0033975,DB00176,-4.905975584100353,0.9090909090909091,1.6033636363636363,0.14151573226796674
C0024117,DB00152,-3.2363308729321023,0.0,1.086,0.33556519485786956
C0020538,DB00850,-4.695253632525865,0.6,1.0915333333333332,0.10468728034802827
C0028754,DB00860,-5.724483190340437,0.7083333333333334,1.228375,0.0908451731580226
C0020557,DB01243,0.6694798279436237,1.4444444444444444,1.3614444444444442,0.12397684969081628
C0010200,DB01380,-0.08076053660350284,1.0,1.018,0.22288113423975567
C0524910,DB00967,-1.3536664283247926,1.75,1.9845,0.17323322429603394
C0019202,DB00555,0.9206690880811811,2.16,2.09064,0.07533651438711515
C1140680,DB01380,0.38141233891878223,1.0,0.873,0.33297297187609687
C0014175,DB00035,0.14488624309816803,1.75,1.71325,0.2536472698453504
C0024138,DB01132,0.5207647170684115,1.9333333333333333,1.8824,0.09780488513134482
C0004096,DB00586,-1.3619820612392293,1.2857142857142858,1.429,0.10520381902485748
C0010346,DB00318,-1.4682928356591844,1.25,1.48,0.15664450197820542
C0238463,DB04571,0.6299764307056488,2.0,1.8325,0.2658829629743132
C0020542,DB00831,2.844203097671259,1.75,1.4890833333333335,0.09173629931009376
C0033975,DB00582,-2.9046514295248964,1.1666666666666667,1.6575,0.16898183663077848
C0149871,DB01260,-0.5689513690398841,1.3333333333333333,1.4886666666666668,0.2730168899944145
C0038013,DB00196,-1.5112867481663939,1.4444444444444444,1.6601111111111113,0.14270400169149225
C0023434,DB01053,0.3484084016304397,2.0,1.873,0.3645147459294342
C0033774,DB00488,-3.120736405544537,1.0,1.958,0.30697882663141446
C0034067,DB01030,0.9659536089393577,1.8666666666666667,1.7492000000000003,0.1216069442461609
C0026764,DB00451,-1.0049301762557301,1.1111111111111112,1.2558888888888886,0.14406749961196813
C0020538,DB00273,-2.270901111502793,1.2105263157894737,1.4061315789473683,0.08613552662733549
C1260899,DB06273,-0.5288165976335347,1.75,1.8475,0.18437394067492294
C0020538,DB00285,-4.571077243348072,0.7142857142857143,1.2929285714285716,0.12658785365854638
C0015230,DB00175,-1.8546318986659067,1.588235294117647,1.7401470588235293,0.08190938849652972
C0917801,DB00443,1.0627944641994236,1.7777777777777777,1.6277777777777778,0.14113735538977534
C1140680,DB00927,-1.0106356196253918,1.25,1.45625,0.20407948819026375
C0024117,DB00136,-1.6338661317782472,1.2,1.4141,0.13103888735791372
C0032285,DB00809,-0.7636559345365616,1.0,1.2325,0.30445648293311145
